CENTRAL DE CAMIONAGEM (IDA),LARGO DE CAMÕES (IDA),AV. DR. ALFR. SOUSA (MULTIUSOS),AV. DR. ALFREDO SOUSA (CTT),MEIA LARANJA,LARGO DR. JOÃO DE ALMEIDA,ESCOLA SECUNDÁRIA DA SÉ,AV. DR. EGAS MONIZ (TAMBOREIRA),LECLERC (IDA),ESCOLA RURAL,HOSPITAL,LIDL,S. MARTINHO DO SOUTO (CRUZ.),S. MARTINHO DO SOUTO,MOIMENTINHA (CRUZ.),SANTINHO,CEPÕES (CEMITÉRIO),CEPÕES (ESCOLA),CEPÕES,LIDL,HOSPITAL,ESCOLA RURAL,LECLERC (VOLTA),AV. DR. EGAS MONIZ (TAMBOREIRA),ESC. SEC. SÉ / RUA DA CALÇADA,CASA DA LAVOURA,CASA DAS BROLHAS,LARGO DE CAMÕES (VOLTA),CENTRAL DE CAMIONAGEM (VOLTA),sabado
8:00,8:01,8:02,8:03,8:04,8:05,8:06,8:07,8:08,8:09,8:10,8:11,8:12,8:13,8:14,8:15,8:16,8:17,8:18,8:20,8:21,8:22,8:23,8:24,8:25,8:26,8:27,8:28,8:29,0
9:00,9:01,9:02,9:03,9:04,9:05,9:06,9:07,9:08,9:09,9:10,9:11,9:12,9:13,9:14,9:15,9:16,9:17,9:18,9:20,9:21,9:22,9:23,9:24,9:25,9:26,9:27,9:28,9:29,0
10:00,10:01,10:02,10:03,10:04,10:05,10:06,10:07,10:08,10:09,10:10,10:11,10:12,10:13,10:14,10:15,10:16,10:17,10:18,10:20,10:21,10:22,10:23,10:24,10:25,10:26,10:27,10:28,10:29,0
12:00,12:01,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:09,12:10,12:11,12:12,12:13,12:14,12:15,12:16,12:17,12:18,12:20,12:21,12:22,12:23,12:24,12:25,12:26,12:27,12:28,12:29,0
13:00,13:01,13:02,13:03,13:04,13:05,13:06,13:07,13:08,13:09,13:10,13:11,13:12,13:13,13:14,13:15,13:16,13:17,13:18,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:29,0
14:00,14:01,14:02,14:03,14:04,14:05,14:06,14:07,14:08,14:09,14:10,14:11,14:12,14:13,14:14,14:15,14:16,14:17,14:18,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:27,14:28,14:29,0
16:00,16:01,16:02,16:03,16:04,16:05,16:06,16:07,16:08,16:09,16:10,16:11,16:12,16:13,16:14,16:15,16:16,16:17,16:18,16:20,16:21,16:22,16:23,16:24,16:25,16:26,16:27,16:28,16:29,0
17:00,17:01,17:02,17:03,17:04,17:05,17:06,17:07,17:08,17:09,17:10,17:11,17:12,17:13,17:14,17:15,17:16,17:17,17:18,17:20,17:21,17:22,17:23,17:24,17:25,17:26,17:27,17:28,17:29,0
18:00,18:01,18:02,18:03,18:04,18:05,18:06,18:07,18:08,18:09,18:10,18:11,18:12,18:13,18:14,18:15,18:16,18:17,18:18,18:20,18:21,18:22,18:23,18:24,18:25,18:26,18:27,18:28,18:29,0
19:00,19:01,19:02,19:03,19:04,19:05,19:06,19:07,19:08,19:09,19:10,19:11,19:12,19:13,19:14,19:15,19:16,19:17,19:18,19:20,19:21,19:22,19:23,19:24,19:25,19:26,19:27,19:28,19:29,0
9:00,9:01,9:02,9:03,9:04,9:05,9:06,9:07,9:08,9:09,9:10,9:11,9:12,9:13,9:14,9:15,9:16,9:17,9:18,9:20,9:21,9:22,9:23,9:24,9:25,9:26,9:27,9:28,9:29,1
11:00,11:01,11:02,11:03,11:04,11:05,11:06,11:07,11:08,11:09,11:10,11:11,11:12,11:13,11:14,11:15,11:16,11:17,11:18,11:20,11:21,11:22,11:23,11:24,11:25,11:26,11:27,11:28,11:29,1
13:00,13:01,13:02,13:03,13:04,13:05,13:06,13:07,13:08,13:09,13:10,13:11,13:12,13:13,13:14,13:15,13:16,13:17,13:18,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:29,1
18:30,18:31,18:32,18:33,18:34,18:35,18:36,18:37,18:38,18:39,18:40,18:41,18:42,18:43,18:44,18:45,18:46,18:47,18:48,18:50,18:51,18:52,18:53,18:54,18:55,18:56,18:57,18:58,18:59,1
